export-plot data (NetLogo 6.1.1),,,,,,,,,,,,,,,
Dancing Game - O'Connor.nlogo,,,,,,,,,,,,,,,
01/05/2021 17:04:05:933 -0800,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MODEL SETTINGS,,,,,,,,,,,,,,,
swap?,initial-blue,memory_size,initial-green,type-players?,wipe?,learning?,memory_learning?,weighted_learning?,initial-yellow,mutation_rate,leader-payoff,leader-follower-game?,gendered_learning?,gendered_pairing?,
FALSE,50,10,25,FALSE,FALSE,TRUE,FALSE,FALSE,25,0,1,FALSE,FALSE,FALSE,
,,,,,,,,,,,,,,,
"""Strategy frequency""",,,,,,,,,,,,,,,
x min,x max,y min,y max,autoplot?,current pen,legend open?,number of pens,,,,,,,,
0,116,0,100,TRUE,"""default""",FALSE,4,,,,,,,,
,,,,,,,,,,,,,,,
pen name,pen down?,mode,interval,color,x,,,,,,,,,,
"""default""",TRUE,0,1,94,100,,,,,,,,,,
"""pen-1""",TRUE,0,1,86,100,,,,,,,,,,
"""pen-2""",TRUE,0,1,25,100,,,,,,,,,,
"""pen-3""",TRUE,0,1,15,100,,,,,,,,,,
,,,,,,,,,,,,,,,
"""default""",,,,"""pen-1""",,,,"""pen-2""",,,,"""pen-3""",,,
x,y,color,pen down?,x,y,color,pen down?,x,y,color,pen down?,x,y,color,pen down?
0,0,94,FALSE,0,0,86,TRUE,0,0,25,TRUE,0,0,15,TRUE
1,50,94,FALSE,1,50,86,TRUE,1,0,25,TRUE,1,0,15,TRUE
2,48,94,TRUE,2,52,86,TRUE,2,0,25,TRUE,2,0,15,TRUE
3,46,94,TRUE,3,54,86,TRUE,3,0,25,TRUE,3,0,15,TRUE
4,53,94,TRUE,4,47,86,TRUE,4,0,25,TRUE,4,0,15,TRUE
5,52,94,TRUE,5,48,86,TRUE,5,0,25,TRUE,5,0,15,TRUE
6,54,94,TRUE,6,46,86,TRUE,6,0,25,TRUE,6,0,15,TRUE
7,52,94,TRUE,7,48,86,TRUE,7,0,25,TRUE,7,0,15,TRUE
8,50,94,TRUE,8,50,86,TRUE,8,0,25,TRUE,8,0,15,TRUE
9,53,94,TRUE,9,47,86,TRUE,9,0,25,TRUE,9,0,15,TRUE
10,51,94,TRUE,10,49,86,TRUE,10,0,25,TRUE,10,0,15,TRUE
11,53,94,TRUE,11,47,86,TRUE,11,0,25,TRUE,11,0,15,TRUE
12,49,94,TRUE,12,51,86,TRUE,12,0,25,TRUE,12,0,15,TRUE
13,48,94,TRUE,13,52,86,TRUE,13,0,25,TRUE,13,0,15,TRUE
14,50,94,TRUE,14,50,86,TRUE,14,0,25,TRUE,14,0,15,TRUE
15,47,94,TRUE,15,53,86,TRUE,15,0,25,TRUE,15,0,15,TRUE
16,48,94,TRUE,16,52,86,TRUE,16,0,25,TRUE,16,0,15,TRUE
17,45,94,TRUE,17,55,86,TRUE,17,0,25,TRUE,17,0,15,TRUE
18,41,94,TRUE,18,59,86,TRUE,18,0,25,TRUE,18,0,15,TRUE
19,44,94,TRUE,19,56,86,TRUE,19,0,25,TRUE,19,0,15,TRUE
20,44,94,TRUE,20,56,86,TRUE,20,0,25,TRUE,20,0,15,TRUE
21,43,94,TRUE,21,57,86,TRUE,21,0,25,TRUE,21,0,15,TRUE
22,48,94,TRUE,22,52,86,TRUE,22,0,25,TRUE,22,0,15,TRUE
23,53,94,TRUE,23,47,86,TRUE,23,0,25,TRUE,23,0,15,TRUE
24,50,94,TRUE,24,50,86,TRUE,24,0,25,TRUE,24,0,15,TRUE
25,54,94,TRUE,25,46,86,TRUE,25,0,25,TRUE,25,0,15,TRUE
26,50,94,TRUE,26,50,86,TRUE,26,0,25,TRUE,26,0,15,TRUE
27,55,94,TRUE,27,45,86,TRUE,27,0,25,TRUE,27,0,15,TRUE
28,49,94,TRUE,28,51,86,TRUE,28,0,25,TRUE,28,0,15,TRUE
29,48,94,TRUE,29,52,86,TRUE,29,0,25,TRUE,29,0,15,TRUE
30,47,94,TRUE,30,53,86,TRUE,30,0,25,TRUE,30,0,15,TRUE
31,51,94,TRUE,31,49,86,TRUE,31,0,25,TRUE,31,0,15,TRUE
32,48,94,TRUE,32,52,86,TRUE,32,0,25,TRUE,32,0,15,TRUE
33,52,94,TRUE,33,48,86,TRUE,33,0,25,TRUE,33,0,15,TRUE
34,54,94,TRUE,34,46,86,TRUE,34,0,25,TRUE,34,0,15,TRUE
35,57,94,TRUE,35,43,86,TRUE,35,0,25,TRUE,35,0,15,TRUE
36,56,94,TRUE,36,44,86,TRUE,36,0,25,TRUE,36,0,15,TRUE
37,50,94,TRUE,37,50,86,TRUE,37,0,25,TRUE,37,0,15,TRUE
38,50,94,TRUE,38,50,86,TRUE,38,0,25,TRUE,38,0,15,TRUE
39,49,94,TRUE,39,51,86,TRUE,39,0,25,TRUE,39,0,15,TRUE
40,52,94,TRUE,40,48,86,TRUE,40,0,25,TRUE,40,0,15,TRUE
41,53,94,TRUE,41,47,86,TRUE,41,0,25,TRUE,41,0,15,TRUE
42,50,94,TRUE,42,50,86,TRUE,42,0,25,TRUE,42,0,15,TRUE
43,46,94,TRUE,43,54,86,TRUE,43,0,25,TRUE,43,0,15,TRUE
44,50,94,TRUE,44,50,86,TRUE,44,0,25,TRUE,44,0,15,TRUE
45,55,94,TRUE,45,45,86,TRUE,45,0,25,TRUE,45,0,15,TRUE
46,61,94,TRUE,46,39,86,TRUE,46,0,25,TRUE,46,0,15,TRUE
47,57,94,TRUE,47,43,86,TRUE,47,0,25,TRUE,47,0,15,TRUE
48,55,94,TRUE,48,45,86,TRUE,48,0,25,TRUE,48,0,15,TRUE
49,56,94,TRUE,49,44,86,TRUE,49,0,25,TRUE,49,0,15,TRUE
50,51,94,TRUE,50,49,86,TRUE,50,0,25,TRUE,50,0,15,TRUE
51,50,94,TRUE,51,50,86,TRUE,51,0,25,TRUE,51,0,15,TRUE
52,54,94,TRUE,52,46,86,TRUE,52,0,25,TRUE,52,0,15,TRUE
53,57,94,TRUE,53,43,86,TRUE,53,0,25,TRUE,53,0,15,TRUE
54,57,94,TRUE,54,43,86,TRUE,54,0,25,TRUE,54,0,15,TRUE
55,51,94,TRUE,55,49,86,TRUE,55,0,25,TRUE,55,0,15,TRUE
56,48,94,TRUE,56,52,86,TRUE,56,0,25,TRUE,56,0,15,TRUE
57,45,94,TRUE,57,55,86,TRUE,57,0,25,TRUE,57,0,15,TRUE
58,44,94,TRUE,58,56,86,TRUE,58,0,25,TRUE,58,0,15,TRUE
59,49,94,TRUE,59,51,86,TRUE,59,0,25,TRUE,59,0,15,TRUE
60,46,94,TRUE,60,54,86,TRUE,60,0,25,TRUE,60,0,15,TRUE
61,43,94,TRUE,61,57,86,TRUE,61,0,25,TRUE,61,0,15,TRUE
62,48,94,TRUE,62,52,86,TRUE,62,0,25,TRUE,62,0,15,TRUE
63,45,94,TRUE,63,55,86,TRUE,63,0,25,TRUE,63,0,15,TRUE
64,49,94,TRUE,64,51,86,TRUE,64,0,25,TRUE,64,0,15,TRUE
65,58,94,TRUE,65,42,86,TRUE,65,0,25,TRUE,65,0,15,TRUE
66,61,94,TRUE,66,39,86,TRUE,66,0,25,TRUE,66,0,15,TRUE
67,61,94,TRUE,67,39,86,TRUE,67,0,25,TRUE,67,0,15,TRUE
68,53,94,TRUE,68,47,86,TRUE,68,0,25,TRUE,68,0,15,TRUE
69,57,94,TRUE,69,43,86,TRUE,69,0,25,TRUE,69,0,15,TRUE
70,56,94,TRUE,70,44,86,TRUE,70,0,25,TRUE,70,0,15,TRUE
71,52,94,TRUE,71,48,86,TRUE,71,0,25,TRUE,71,0,15,TRUE
72,54,94,TRUE,72,46,86,TRUE,72,0,25,TRUE,72,0,15,TRUE
73,55,94,TRUE,73,45,86,TRUE,73,0,25,TRUE,73,0,15,TRUE
74,49,94,TRUE,74,51,86,TRUE,74,0,25,TRUE,74,0,15,TRUE
75,48,94,TRUE,75,52,86,TRUE,75,0,25,TRUE,75,0,15,TRUE
76,52,94,TRUE,76,48,86,TRUE,76,0,25,TRUE,76,0,15,TRUE
77,51,94,TRUE,77,49,86,TRUE,77,0,25,TRUE,77,0,15,TRUE
78,50,94,TRUE,78,50,86,TRUE,78,0,25,TRUE,78,0,15,TRUE
79,53,94,TRUE,79,47,86,TRUE,79,0,25,TRUE,79,0,15,TRUE
80,55,94,TRUE,80,45,86,TRUE,80,0,25,TRUE,80,0,15,TRUE
81,56,94,TRUE,81,44,86,TRUE,81,0,25,TRUE,81,0,15,TRUE
82,54,94,TRUE,82,46,86,TRUE,82,0,25,TRUE,82,0,15,TRUE
83,53,94,TRUE,83,47,86,TRUE,83,0,25,TRUE,83,0,15,TRUE
84,48,94,TRUE,84,52,86,TRUE,84,0,25,TRUE,84,0,15,TRUE
85,39,94,TRUE,85,61,86,TRUE,85,0,25,TRUE,85,0,15,TRUE
86,49,94,TRUE,86,51,86,TRUE,86,0,25,TRUE,86,0,15,TRUE
87,51,94,TRUE,87,49,86,TRUE,87,0,25,TRUE,87,0,15,TRUE
88,53,94,TRUE,88,47,86,TRUE,88,0,25,TRUE,88,0,15,TRUE
89,55,94,TRUE,89,45,86,TRUE,89,0,25,TRUE,89,0,15,TRUE
90,48,94,TRUE,90,52,86,TRUE,90,0,25,TRUE,90,0,15,TRUE
91,51,94,TRUE,91,49,86,TRUE,91,0,25,TRUE,91,0,15,TRUE
92,46,94,TRUE,92,54,86,TRUE,92,0,25,TRUE,92,0,15,TRUE
93,49,94,TRUE,93,51,86,TRUE,93,0,25,TRUE,93,0,15,TRUE
94,45,94,TRUE,94,55,86,TRUE,94,0,25,TRUE,94,0,15,TRUE
95,47,94,TRUE,95,53,86,TRUE,95,0,25,TRUE,95,0,15,TRUE
96,44,94,TRUE,96,56,86,TRUE,96,0,25,TRUE,96,0,15,TRUE
97,53,94,TRUE,97,47,86,TRUE,97,0,25,TRUE,97,0,15,TRUE
98,53,94,TRUE,98,47,86,TRUE,98,0,25,TRUE,98,0,15,TRUE
99,53,94,TRUE,99,47,86,TRUE,99,0,25,TRUE,99,0,15,TRUE
100,47,94,TRUE,100,53,86,TRUE,100,0,25,TRUE,100,0,15,TRUE
